"","Date","Decimal.median.time","Hours","Month","Year","Block","Zone","Skipper","SST","Fraction.moon.illuminated","Fishing.pressure.all.years","NumberCaught","Method","Target","response","log.NumberCaught","Location","log.Hours"
"1","18/05/2006",5.88,1.75,5,2006,184211,1,"E",27.17,0.74,52,8,"TL","Spanish",0,2.19722457733622,"All",1.01160091167848
"2","18/05/2006",16.25,2.5,5,2006,180212,1,"E",27,0.74,188,123,"TL","Spanish",0,4.82028156560504,"All",1.25276296849537
"3","21/05/2006",16.75,1.5,5,2006,180212,1,"E",27.5,0.41,188,34,"TL","Spanish",0,3.55534806148941,"All",0.916290731874155
"4","22/05/2006",5.63,1.25,5,2006,170214,1,"E",28,0.3,92,14,"TL","Spanish",0,2.70805020110221,"All",0.810930216216329
"5","22/05/2006",15.88,1.75,5,2006,170215,1,"E",27.93,0.3,130,48,"TL","Spanish",0,3.89182029811063,"All",1.01160091167848
"6","23/05/2006",5.88,1.75,5,2006,163213,1,"E",28.62,0.2,304,43,"TL","Spanish",0,3.78418963391826,"All",1.01160091167848
"7","23/05/2006",11.5,1,5,2006,163211,1,"E",28.68,0.2,48,32,"TL","Spanish",0,3.49650756146648,"All",0.693147180559945
"8","23/05/2006",16.53,1.05,5,2006,163213,1,"E",28.62,0.2,304,105,"TL","Spanish",0,4.66343909411207,"All",0.717839793150317
"9","24/05/2006",5.88,1.75,5,2006,163213,1,"E",28.53,0.12,304,64,"TL","Spanish",0,4.17438726989564,"All",1.01160091167848
"10","24/05/2006",11.5,1,5,2006,164214,1,"E",28.53,0.12,131,21,"TL","Spanish",0,3.09104245335832,"All",0.693147180559945
"11","24/05/2006",16.75,1.5,5,2006,163213,1,"E",28.53,0.12,304,145,"TL","Spanish",0,4.98360662170834,"All",0.916290731874155
"12","25/05/2006",5.88,1.75,5,2006,163213,1,"E",28.38,0.1,304,58,"TL","Spanish",0,4.07753744390572,"All",1.01160091167848
"13","25/05/2006",16.75,1.5,5,2006,163213,1,"E",28.38,0.1,304,98,"TL","Spanish",0,4.59511985013459,"All",0.916290731874155
"14","29/06/2006",6,2,6,2006,163213,1,"E",25.38,0.12,304,40,"TL","Spanish",0,3.71357206670431,"All",1.09861228866811
"15","29/06/2006",16.88,1.75,6,2006,163213,1,"E",25.38,0.12,304,34,"TL","Spanish",0,3.55534806148941,"All",1.01160091167848
"16","30/06/2006",16.13,2.25,6,2006,171220,1,"E",25.465,0.19,3,22,"TL","Spanish",0,3.13549421592915,"All",1.17865499634165
"17","1/07/2006",8.25,0.5,7,2006,164214,1,"E",25.32,0.27,131,3,"TL","Spanish",0,1.38629436111989,"All",0.405465108108164
"18","1/07/2006",14.5,1,7,2006,163213,1,"E",25.32,0.27,304,15,"TL","Spanish",0,2.77258872223978,"All",0.693147180559945
"19","1/07/2006",16.88,1.75,7,2006,163213,1,"E",25.32,0.27,304,17,"TL","Spanish",0,2.89037175789616,"All",1.01160091167848
"20","2/07/2006",5.88,1.75,7,2006,163211,1,"E",25.85,0.36,48,74,"TL","Spanish",0,4.31748811353631,"All",1.01160091167848
